word,count
gang,8
ohio,8
stake,8
hornback,8
thompson,8
running,8
knowing,8
mobbed,8
use,8
driven,8
eyes,8
mouth,8
alive,8
loud,8
knocking,8
policeman,8
protection,8
perhaps,8
burial,8
pay,8
shannon,8
mutilated,8
reason,8
funeral,8
belief,8
die,8
wagon,8
willing,8
growing,8
enacted,8
prevented,8
pile,8
sound,8
become,8
farmers,8
appeal,8
sprang,8
bear,8
safety,8
recognized,8
likely,8
proper,8
defense,8
lay,8
fastened,8
asleep,8
former,8
ben,8
rodgers,8
waiting,8
service,8
sum,8
world,8
sought,8
writing,8
prayer,8
buried,8
walker,8
national,8
portion,8
stealing,8
walter,8
located,8
warrants,8
procession,8
accomplishing,8
militia,8
proceedings,8
commercial,8
mt,8
hicks,8
trials,8
caldwell,8
recovered,8
unconscious,8
dublin,8
opera,8
theater,8
tommie,8
threatening,8
wood,8
throwing,8
cook,8
cousin,8
jamestown,8
mining,8
barnes,8
browder,8
mcdaniel,8
tutt,8
cartwright,8
shefly,8
blue,7
cowan,7
quite,7
rumor,7
wretch,7
majority,7
edge,7
conducted,7
surrendered,7
della,7
connected,7
intention,7
identification,7
accompanied,7
sure,7
consisted,7
gate,7
outer,7
paper,7
thoroughly,7
undertaker,7
questioning,7
charges,7
official,7
key,7
denied,7
absence,7
clarence,7
mother,7
terror,7
intended,7
towards,7
usual,7
different,7
low,7
hotel,7
situation,7
sixty,7
care,7
sentiment,7
gives,7
various,7
parts,7
wade,7
securely,7
hear,7
piece,7
lost,7
mary,7
appeals,7
willson,7
comes,7
rapist,7
nolan,7
yellow,7
hat,7
talked,7
send,7
laid,7
heat,7
disperse,7
inflicted,7
faces,7
surprise,7
situated,7
appearance,7
stout,7
considerable,7
agony,7
things,7
undertaking,7
gentleman,7
outskirts,7
beyond,7
mask,7
added,7
entering,7
considered,7
route,7
heart,7
brief,7
fallen,7
gathering,7
god,7
dollars,7
conditions,7
civilization,7
prevails,7
shall,7
bringing,7
ears,7
regarded,7
prosecution,7
cowardly,7
association,7
lawless,7
surrounding,7
mine,7
highway,7
beat,7
driving,7
grant,7
popular,7
parker,7
warrant,7
swore,7
charging,7
afraid,7
mr,7
weapons,7
delay,7
pulliam,7
windows,7
ray,7
goff,7
severely,7
petty,7
dynamiting,7
hopson,7
speedy,7
move,7
dying,7
london,7
whipped,7
gus,7
wm,7
webster,7
visit,7
dangerously,7
mute,7
marry,7
warfield,7
entirely,7
hopkins,7
enquirer,7
ill,7
womack,7
quinn,7
richmond,7
hornsby,7
murray,7
curious,6
neighboring,6
obtained,6
shotguns,6
strange,6
yes,6
anxious,6
headed,6
plead,6
anybody,6
hangs,6
carriage,6
stock,6
feels,6
bitter,6
showed,6
arch,6
character,6
unlocked,6
beech,6
automobile,6
garnett,6
clear,6
tall,6
locks,6
victims,6
settlement,6
either,6
theory,6
latest,6
danger,6
groups,6
houses,6
idea,6
sworn,6
orders,6
lamp,6
locked,6
guarded,6
look,6
anyone,6
lot,6
closed,6
firearms,6
sold,6
regulators,6
sensation,6
deep,6
ensued,6
begging,6
sons,6
hustled,6
halted,6
pointed,6
rock,6
try,6
august,6
cases,6
estimated,6
completely,6
breaking,6
sleeping,6
entreaties,6
whatever,6
realized,6
fought,6
page,6
december,6
october,6
wires,6
previous,6
headquarters,6
notice,6
